Region,Sector,GWP100 [kg CO2-eq/unit output]
AT,"Electricity by tide, wave, ocean",0.0
AT,Electricity by Geothermal,1097487.548786923
AT,Electricity nec,1194791.118454706
AT,Transmission services of electricity,858314.3636033859
AT,Distribution and trade services of electricity,882748.6750697967
AT,Coke oven gas,1663251.124954757
AT,Blast Furnace Gas,1663380.7965623494
AT,Oxygen Steel Furnace Gas,165432.63811000422
AT,Gas Works Gas,134946.09959675325
AT,Biogas,1657013.4886949996
AT,Distribution services of gaseous fuels through mains,1660436.8400690926
AT,Steam and hot water supply services,3769783.674803513
AT,"Collected and purified water, distribution services of water (41)",218588.56741343663
AT,Construction work (45),166223.63796758774
AT,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
AT,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",88009.46771819847
AT,Retail trade services of motor fuel,218799.96253508722
AT,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",172049.41598240618
AT,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",168998.62741388002
AT,Hotel and restaurant services (55),57563.86840499388
AT,Railway transportation services,217175.18422157268
AT,Other land transportation services,140124.87673651395
AT,Transportation services via pipelines,2479463.497752424
AT,Sea and coastal water transportation services,6662397.862655083
AT,Inland water transportation services,806627.0042693537
AT,Air transport services (62),1054608.254966791
AT,Supporting and auxiliary transport services; travel agency services (63),92543.44309682048
AT,Post and telecommunication services (64),61564.77476271468
AT,"Financial intermediation services, except insurance and pension funding services (65)",53822.34604518154
AT,"Insurance and pension funding services, except compulsory social security services (66)",107239.11170413131
AT,Services auxiliary to financial intermediation (67),58117.406176733304
AT,Real estate services (70),95117.94796926859
AT,Renting services of machinery and equipment without operator and of personal and household goods (71),89122.21296335229
AT,Computer and related services (72),93803.50092267913
AT,Research and development services (73),138930.3326252868
AT,Other business services (74),122338.91726055388
AT,Public administration and defence services; compulsory social security services (75),55355.72494096178
AT,Education services (80),56511.57915889314
AT,Health and social work services (85),67676.23405917412
AT,Food waste for treatment: incineration,292156.55885533907
AT,Paper waste for treatment: incineration,302501.7815233715
AT,Plastic waste for treatment: incineration,743369.3639865231
AT,Intert/metal waste for treatment: incineration,709492.3286894145
AT,Textiles waste for treatment: incineration,821584.9280483436
AT,Wood waste for treatment: incineration,285177.6102067317
AT,Oil/hazardous waste for treatment: incineration,479903.095733302
AT,Food waste for treatment: biogasification and land application,299122.4186145056
AT,Paper waste for treatment: biogasification and land application,584580.4559006476
AT,Sewage sludge for treatment: biogasification and land application,278343.9835786342
AT,Food waste for treatment: composting and land application,305012.6213750986
AT,Paper and wood waste for treatment: composting and land application,1394239.2543678097
AT,Food waste for treatment: waste water treatment,257197.71675334513
AT,Other waste for treatment: waste water treatment,272215.50290091056
AT,Food waste for treatment: landfill,293661.4403193276
AT,Paper for treatment: landfill,239831.35098052162
AT,Plastic waste for treatment: landfill,264482.51917981793
AT,Inert/metal/hazardous waste for treatment: landfill,272665.03943701595
AT,Textiles waste for treatment: landfill,332384.7703057626
AT,Wood waste for treatment: landfill,297971.56246116635
AT,Membership organisation services n.e.c. (91),78854.39534406803
AT,"Recreational, cultural and sporting services (92)",80683.63989377551
AT,Other services (93),66958.79003251217
AT,Private households with employed persons (95),13094.639910192287
AT,Extra-territorial organizations and bodies,0.0
BE,Paddy rice,541394.8542765973
BE,Wheat,7190787.3098971415
BE,Cereal grains nec,934581.7057715063
BE,"Vegetables, fruit, nuts",219441.67464919112
BE,Oil seeds,12551208.76084992
BE,"Sugar cane, sugar beet",591912.976410064
BE,Plant-based fibers,18985188.772001892
BE,Crops nec,338156.7593471811
BE,Cattle,1087984.7621828548
BE,Pigs,963070.642883859
BE,Poultry,696021.4715407556
BE,Meat animals nec,1358503.454072303
BE,Animal products nec,1121813.9696548544
BE,Raw milk,568419.637046679
BE,"Wool, silk-worm cocoons",864320.5796240249
BE,Manure (conventional treatment),0.0
BE,Manure (biogas treatment),0.0
BE,"Products of forestry, logging and related services (02)",798126.7806381941
BE,Fish and other fishing products; services incidental of fishing (05),618978.7494138255
BE,Anthracite,0.0
BE,Coking Coal,2211219.9850249444
BE,Other Bituminous Coal,2209698.4759701113
BE,Sub-Bituminous Coal,0.0
BE,Patent Fuel,80071.17949153959
BE,Lignite/Brown Coal,331781.91040271724
BE,BKB/Peat Briquettes,0.0
BE,Peat,0.0
BE,"Crude petroleum and services related to crude oil extraction, excluding surveying",0.0
BE,"Natural gas and services related to natural gas extraction, excluding surveying",0.0
BE,Natural Gas Liquids,0.0
BE,Other Hydrocarbons,0.0
BE,Uranium and thorium ores (12),238765173.88243324
BE,Iron ores,331781.910403327
BE,Copper ores and concentrates,331781.91040266614
BE,Nickel ores and concentrates,331781.91040419246
BE,Aluminium ores and concentrates,55993.53290722206
BE,Precious metal ores and concentrates,331781.9104009192
BE,"Lead, zinc and tin ores and concentrates",331781.9104041403
BE,Other non-ferrous metal ores and concentrates,1334901.4526363367
BE,Stone,549964.639260108
BE,Sand and clay,601188.8044240654
BE,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",603477.7455118874
BE,Products of meat cattle,676394.2975044964
BE,Products of meat pigs,590006.7036324834
BE,Products of meat poultry,244602.48916387113
BE,Meat products nec,320565.7501620807
BE,products of Vegetable oils and fats,173830.37966104448
BE,Dairy products,329826.1525648449
BE,Processed rice,464162.73586103006
BE,Sugar,245429.78739531364
BE,Food products nec,286421.60430146416
BE,Beverages,240487.81451136412
BE,Fish products,276943.1037620196
BE,Tobacco products (16),202386.83747725657
BE,Textiles (17),494610.6234399886
BE,Wearing apparel; furs (18),119894.9433744409
BE,Leather and leather products (19),43036.977619861354
BE,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),337971.2589218626
BE,"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
BE,Pulp,421848.05897426495
BE,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
BE,Paper and paper products,405678.5464638114
BE,Printed matter and recorded media (22),176067.4634743962
BE,Coke Oven Coke,1931683.8915858392
BE,Gas Coke,0.0
BE,Coal Tar,936858.7536180408
BE,Motor Gasoline,661918.9479939559
BE,Aviation Gasoline,683828.8886305878
BE,Gasoline Type Jet Fuel,399206387.01880944
BE,Kerosene Type Jet Fuel,661450.9487710756
BE,Kerosene,659064.495081084
BE,Gas/Diesel Oil,659694.7267258005
BE,Heavy Fuel Oil,657965.9128515343
BE,Refinery Gas,657952.0197269138
BE,Liquefied Petroleum Gases (LPG),656020.3545328036
BE,Refinery Feedstocks,658359.9026310816
BE,Ethane,673531.3727014153
BE,Naphtha,657777.9582719343
BE,White Spirit & SBP,658517.9472582549
BE,Lubricants,689554.1485230551
BE,Bitumen,649315.376235918
BE,Paraffin Waxes,817408.2417522912
BE,Petroleum Coke,657476.3614332245
BE,Non-specified Petroleum Products,658337.6239269174
BE,Nuclear fuel,335899.74840826745
BE,"Plastics, basic",629289.2926905717
BE,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
BE,N-fertiliser,295991.85028375697
BE,P- and other fertiliser,788461.0358892714
BE,Chemicals nec,570933.6752359018
BE,Charcoal,231428.35115427687
BE,Additives/Blending Components,705223.6204292256
BE,Biogasoline,590768.6441571328
BE,Biodiesels,668170.3921176806
BE,Other Liquid Biofuels,686761.6459885412
BE,Rubber and plastic products (25),367366.7374070623
BE,Glass and glass products,963207.3970593822
BE,"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
BE,Ceramic goods,877844.0107779601
BE,"Bricks, tiles and construction products, in baked clay",616355.2162718046
BE,"Cement, lime and plaster",526355.3823410678
BE,"Ash for treatment, Re-processing of ash into clinker",0.0
BE,Other non-metallic mineral products,556781.4052013224
BE,Basic iron and steel and of ferro-alloys and first products thereof,900468.135141135
BE,"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
BE,Precious metals,345209.68837817997
BE,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
BE,Aluminium and aluminium products,502828.59008679166
BE,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
BE,"Lead, zinc and tin and products thereof",1099242.0303527308
BE,"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
BE,Copper products,362380.5420554131
BE,"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
BE,Other non-ferrous metal products,896053.9937516773
BE,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
BE,Foundry work services,712402.6144155187
BE,"Fabricated metal products, except machinery and equipment (28)",308298.4103521276
BE,Machinery and equipment n.e.c. (29),232822.00868747674
BE,Office machinery and computers (30),173222.24189042882
BE,Electrical machinery and apparatus n.e.c. (31),214817.99554099177
BE,"Radio, television and communication equipment and apparatus (32)",392661.78022105695
BE,"Medical, precision and optical instruments, watches and clocks (33)",274043.58582874184
BE,"Motor vehicles, trailers and semi-trailers (34)",236528.49851821057
BE,Other transport equipment (35),603292.6914364116
BE,Furniture; other manufactured goods n.e.c. (36),420370.5843680792
BE,Secondary raw materials,596353828.1802081
BE,"Bottles for treatment, Recycling of bottles by direct reuse",0.0
BE,Electricity by coal,4713457.4377878215
BE,Electricity by gas,3047091.369869088
BE,Electricity by nuclear,45312.990296359756
BE,Electricity by hydro,717257.3669346975
BE,Electricity by wind,24970531.041038956
BE,Electricity by petroleum and other oil derivatives,462792.900318121
BE,Electricity by biomass and waste,2662556.099645942
BE,Electricity by solar photovoltaic,718267.1336282069
BE,Electricity by solar thermal,658704.5109194695
BE,"Electricity by tide, wave, ocean",535213.9604787792
BE,Electricity by Geothermal,568011.1550622514
BE,Electricity nec,558060.500686541
BE,Transmission services of electricity,263565.54949413455
BE,Distribution and trade services of electricity,259287.55227620123
BE,Coke oven gas,570864.0830432739
BE,Blast Furnace Gas,624624.9555901358
BE,Oxygen Steel Furnace Gas,540567.7357256121
BE,Gas Works Gas,645793.0807799617
BE,Biogas,1080427.9839744703
BE,Distribution services of gaseous fuels through mains,727637.6432208448
BE,Steam and hot water supply services,530160.0211300398
BE,"Collected and purified water, distribution services of water (41)",90901.86220477636
BE,Construction work (45),196474.788197786
BE,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
BE,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",125887.3808271973
BE,Retail trade services of motor fuel,127858.26398983823
BE,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",110124.27107052655
BE,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",100256.50075810796
BE,Hotel and restaurant services (55),87351.68263659727
BE,Railway transportation services,215631.4211666894
BE,Other land transportation services,158779.70082460472
BE,Transportation services via pipelines,3203456.7320201006
BE,Sea and coastal water transportation services,1222509.452588002
BE,Inland water transportation services,634926.5247889122
BE,Air transport services (62),727044.7522119537
BE,Supporting and auxiliary transport services; travel agency services (63),185490.9737879011
BE,Post and telecommunication services (64),94725.92487437293
BE,"Financial intermediation services, except insurance and pension funding services (65)",65951.91868051673
BE,"Insurance and pension funding services, except compulsory social security services (66)",62941.27970081024
BE,Services auxiliary to financial intermediation (67),89552.81541606088
BE,Real estate services (70),51705.7602857368
BE,Renting services of machinery and equipment without operator and of personal and household goods (71),241039.8831904804
BE,Computer and related services (72),121412.20618085723
BE,Research and development services (73),160217.1014324621
BE,Other business services (74),84093.34956324533
BE,Public administration and defence services; compulsory social security services (75),53102.026094760884
BE,Education services (80),29383.441909552228
BE,Health and social work services (85),129821.80362673353
BE,Food waste for treatment: incineration,110597.96182509816
BE,Paper waste for treatment: incineration,107636.72741893619
BE,Plastic waste for treatment: incineration,151605.3648049977
BE,Intert/metal waste for treatment: incineration,186120.6474957676
BE,Textiles waste for treatment: incineration,136060.22895665868
BE,Wood waste for treatment: incineration,97282.38477241238
BE,Oil/hazardous waste for treatment: incineration,168133.9110582995
BE,Food waste for treatment: biogasification and land application,105381.11727900902
BE,Paper waste for treatment: biogasification and land application,456213.0034707506
BE,Sewage sludge for treatment: biogasification and land application,117292.36887815186
BE,Food waste for treatment: composting and land application,135302.49943655668
BE,Paper and wood waste for treatment: composting and land application,144319.67103460338
BE,Food waste for treatment: waste water treatment,248851.2441444025
BE,Other waste for treatment: waste water treatment,231596.342648785
BE,Food waste for treatment: landfill,125387.03645297843
BE,Paper for treatment: landfill,119126.57845740118
BE,Plastic waste for treatment: landfill,106182.98808186768
BE,Inert/metal/hazardous waste for treatment: landfill,152796.02681304142
BE,Textiles waste for treatment: landfill,111695.4768100702
BE,Wood waste for treatment: landfill,116013.82788521367
BE,Membership organisation services n.e.c. (91),82071.55261903265
BE,"Recreational, cultural and sporting services (92)",75690.72837568956
BE,Other services (93),159730.28461117056
BE,Private households with employed persons (95),8207.944624992084
BE,Extra-territorial organizations and bodies,0.0
BG,Paddy rice,45431.54342756544
BG,Wheat,522913.4206454912
BG,Cereal grains nec,702375.6895111259
BG,"Vegetables, fruit, nuts",53337.34276632977
BG,Oil seeds,677148.4423577975
BG,"Sugar cane, sugar beet",182369.5915893102
BG,Plant-based fibers,378731.05588706094
BG,Crops nec,662846.7532385032
BG,Cattle,518038.08710323524
BG,Pigs,202217.4149893299
BG,Poultry,653114.478782789
BG,Meat animals nec,328954.2295859456
BG,Animal products nec,434943.47679987055
BG,Raw milk,224684.71867230305
BG,"Wool, silk-worm cocoons",33122565.89351554
BG,Manure (conventional treatment),0.0
BG,Manure (biogas treatment),0.0
BG,"Products of forestry, logging and related services (02)",486969.1692635802
BG,Fish and other fishing products; services incidental of fishing (05),444655.5913700844
BG,Anthracite,1135991.6098273415
BG,Coking Coal,536962.496968544
BG,Other Bituminous Coal,487726.776319106
BG,Sub-Bituminous Coal,0.0
BG,Patent Fuel,297972.412998382
BG,Lignite/Brown Coal,483026.1005296904
BG,BKB/Peat Briquettes,490231.0337570781
BG,Peat,1042035.1248644963
BG,"Crude petroleum and services related to crude oil extraction, excluding surveying",210580.1449132913
BG,"Natural gas and services related to natural gas extraction, excluding surveying",4937887.621841997
BG,Natural Gas Liquids,971957.8462771965
BG,Other Hydrocarbons,192275.91642299967
BG,Uranium and thorium ores (12),0.0
BG,Iron ores,562950.5767731803
BG,Copper ores and concentrates,489483.3282041376
BG,Nickel ores and concentrates,2005707.4521207535
BG,Aluminium ores and concentrates,1173579.372388492
BG,Precious metal ores and concentrates,457550.5107986627
BG,"Lead, zinc and tin ores and concentrates",4450071.916661796
BG,Other non-ferrous metal ores and concentrates,2982229.8798990576
BG,Stone,2267980.7072039573
BG,Sand and clay,639275.8784788304
BG,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",1074433.4620530857
BG,Products of meat cattle,301512.4547172616
BG,Products of meat pigs,473823.25799878436
BG,Products of meat poultry,694687.6081413928
BG,Meat products nec,476907.20420139685
BG,products of Vegetable oils and fats,638980.7905254146
BG,Dairy products,527257.2456271809
BG,Processed rice,11187221.112315413
BG,Sugar,203493.17529891361
BG,Food products nec,618145.1420621474
BG,Beverages,355214.5194526894
BG,Fish products,427526.3804849422
BG,Tobacco products (16),756955.6305964877
BG,Textiles (17),2003025.5493649812
BG,Wearing apparel; furs (18),337308.7079968105
BG,Leather and leather products (19),633306.4001381875
BG,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),677839.5381564717
BG,"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
BG,Pulp,950328.2630443833
BG,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
BG,Paper and paper products,858048.5963338729
BG,Printed matter and recorded media (22),463296.65288387105
BG,Coke Oven Coke,1369339.5626999133
BG,Gas Coke,0.0
BG,Coal Tar,969788.2425094696
BG,Motor Gasoline,1078871.43306245
BG,Aviation Gasoline,1056239.6423212988
BG,Gasoline Type Jet Fuel,0.0
BG,Kerosene Type Jet Fuel,1092321.7468036646
BG,Kerosene,1056239.042604404
BG,Gas/Diesel Oil,1096186.3491679702
BG,Heavy Fuel Oil,1072016.0279396628
BG,Refinery Gas,3482692.2090460844
BG,Liquefied Petroleum Gases (LPG),1089223.5822032867
BG,Refinery Feedstocks,1077561.2126860837
BG,Ethane,0.0
BG,Naphtha,1110294.9083700248
BG,White Spirit & SBP,1056239.0413948663
BG,Lubricants,0.0
BG,Bitumen,1718657.844618031
BG,Paraffin Waxes,0.0
BG,Petroleum Coke,1056239.042538085
BG,Non-specified Petroleum Products,1212673.194229558
BG,Nuclear fuel,0.0
BG,"Plastics, basic",1567623.955473176
BG,"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
BG,N-fertiliser,718836.1595140846
BG,P- and other fertiliser,952975.9026715963
BG,Chemicals nec,2430733.4143426255
BG,Charcoal,2829290.037977086
BG,Additives/Blending Components,68917.60665963514
BG,Biogasoline,68917.98315405124
BG,Biodiesels,2826115.4217355456
BG,Other Liquid Biofuels,2693280.261806752
BG,Rubber and plastic products (25),652141.8854795796
BG,Glass and glass products,1138245.4849783818
BG,"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
BG,Ceramic goods,1836943.6866733404
BG,"Bricks, tiles and construction products, in baked clay",1816352.985200066
BG,"Cement, lime and plaster",1204665.4748616824
BG,"Ash for treatment, Re-processing of ash into clinker",0.0
BG,Other non-metallic mineral products,2073234.4271672503
BG,Basic iron and steel and of ferro-alloys and first products thereof,5823619.110722046
BG,"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
BG,Precious metals,411533.90676811995
BG,"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
BG,Aluminium and aluminium products,1553744.1913219192
BG,"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
BG,"Lead, zinc and tin and products thereof",1117903.6278058747
BG,"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
BG,Copper products,871097.0351397439
BG,"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
BG,Other non-ferrous metal products,1844742.2995951765
BG,"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
BG,Foundry work services,1297496.0209134277
BG,"Fabricated metal products, except machinery and equipment (28)",550066.5818668299
BG,Machinery and equipment n.e.c. (29),566432.2545866985
BG,Office machinery and computers (30),367318.552282859
BG,Electrical machinery and apparatus n.e.c. (31),679878.536905509
BG,"Radio, television and communication equipment and apparatus (32)",557992.0163244187
BG,"Medical, precision and optical instruments, watches and clocks (33)",555015.745298277
BG,"Motor vehicles, trailers and semi-trailers (34)",490169.54319851147
BG,Other transport equipment (35),755233.9221457985
BG,Furniture; other manufactured goods n.e.c. (36),372262.56016190496
BG,Secondary raw materials,328272.18264526676
BG,"Bottles for treatment, Recycling of bottles by direct reuse",0.0
BG,Electricity by coal,18919306.628929842
BG,Electricity by gas,242234.3822785385
BG,Electricity by nuclear,92017.24400893126
BG,Electricity by hydro,77960.70574635385
BG,Electricity by wind,1211855.7890326707
BG,Electricity by petroleum and other oil derivatives,1656908.1948177414
BG,Electricity by biomass and waste,501063.11471664906
BG,Electricity by solar photovoltaic,676039.4896107703
BG,Electricity by solar thermal,0.0
BG,"Electricity by tide, wave, ocean",0.0
BG,Electricity by Geothermal,0.0
BG,Electricity nec,157031.284212947
BG,Transmission services of electricity,249500.6717807187
BG,Distribution and trade services of electricity,139683.0833631119
BG,Coke oven gas,143146.03319928542
BG,Blast Furnace Gas,1763751.6580713969
BG,Oxygen Steel Furnace Gas,74624.53926113035
BG,Gas Works Gas,90461.79088576113
BG,Biogas,162983.43171314703
BG,Distribution services of gaseous fuels through mains,170445.3007549986
BG,Steam and hot water supply services,13260682.95846444
BG,"Collected and purified water, distribution services of water (41)",1055906.9366927983
BG,Construction work (45),321705.12995583634
BG,"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
BG,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",386121.30156342924
BG,Retail trade services of motor fuel,331874.1904058724
BG,"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",364068.66383729846
BG,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",195354.86290363793
BG,Hotel and restaurant services (55),161532.47781328968
BG,Railway transportation services,296092.8460865142
BG,Other land transportation services,245968.18300467674
BG,Transportation services via pipelines,4668686.808987394
BG,Sea and coastal water transportation services,612213.7194808152
BG,Inland water transportation services,594616.5200167071
BG,Air transport services (62),657380.552295537
BG,Supporting and auxiliary transport services; travel agency services (63),269641.04258003604
BG,Post and telecommunication services (64),112251.2558526212
BG,"Financial intermediation services, except insurance and pension funding services (65)",103490.80447352023
BG,"Insurance and pension funding services, except compulsory social security services (66)",198770.2359655588
BG,Services auxiliary to financial intermediation (67),498550.1469999787
BG,Real estate services (70),98364.37264949884
BG,Renting services of machinery and equipment without operator and of personal and household goods (71),400001.3364441534
BG,Computer and related services (72),124462.29631757716
BG,Research and development services (73),156536.3666453287
BG,Other business services (74),201461.75983561293
BG,Public administration and defence services; compulsory social security services (75),86199.69627662654
BG,Education services (80),72201.55794223957
BG,Health and social work services (85),209340.97166584447
BG,Food waste for treatment: incineration,336738.8857672053
BG,Paper waste for treatment: incineration,436742.2731540676
BG,Plastic waste for treatment: incineration,1359451.2545915535
BG,Intert/metal waste for treatment: incineration,449854.2546226449
